filename,width,height,class,xmin,ymin,xmax,ymax
23_jpg.rf.fbf4723c12f0df2ea3eef8ea105f77f1.jpg,200,200,Kawung motif,0,0,81,141



7_jpg.rf.fd9a92ff98f520ad317e28a0c41117fb.jpg,200,200,Kawung patern,0,104,103,199


23_jpg.rf.06af4b18acea26a8809e2e31ae3832d2.jpg,200,200,Kawung motif,0,0,123,103



23_jpg.rf.08a14f6ebccc7f1dd4ede5c142473220.jpg,200,200,Kawung motif,0,0,97,103
23_jpg.rf.08a14f6ebccc7f1dd4ede5c142473220.jpg,200,200,Kawung patern,48,104,97,199

61_jpg.rf.0a05c1a5329465565b9573bd1565ab11.jpg,200,200,Kawung patern,30,120,109,164





39_jpg.rf.0f83a460c386161b10d2ae5d90047284.jpg,200,200,Kawung motif,108,115,199,199



11_png.rf.137e9e1bc2f204d36d582c120754a229.jpg,200,200,Kawung patern,0,0,65,71

39_jpg.rf.12846198c80010b5f1d89c3f9672a959.jpg,200,200,Kawung motif,88,110,199,199















36_jpg.rf.16773fc141758448ba13bc8154d54da6.jpg,200,200,Kawung patern,100,82,199,199




67_jpg.rf.1cb7ff785e5bd3b1cdb7c78ee5716157.jpg,200,200,Kawung patern,0,113,89,199

50_jpg.rf.2098fb4e24d89f1ff3adab7c28baaae6.jpg,200,200,Kawung patern,96,0,199,91



55_jpg.rf.20360d0aee06b83d005d73e5487bfeda.jpg,200,200,Kawung motif,0,124,73,199


23_jpg.rf.2297bb8112882c6fb5c6e94934ec4723.jpg,200,200,Kawung motif,0,0,97,103


10_jpg.rf.1f8b6d8f7f4f9dab408b3053605aba56.jpg,200,200,Kawung patern,0,0,68,82






39_jpg.rf.2af7a0ded3dc749f9fbeb6c4be22ccf5.jpg,200,200,Kawung patern,112,164,199,199







64_jpg.rf.2323227d6207a6054279da10e57f7caa.jpg,200,200,Kawung patern,0,82,129,199








51_jpg.rf.2c9dda7bbd27107f6b2929873d063661.jpg,200,200,Kawung motif,78,140,199,199










38_jpg.rf.3a0f29d56da2a724584de82a4a783833.jpg,200,200,Kawung motif,94,0,199,112


23_jpg.rf.40b9054713b1972536f718f1fec2db4e.jpg,200,200,Kawung motif,0,0,81,141










57_jpg.rf.3684abf1fb01e00d5babd42e3a13b157.jpg,200,200,Kawung motif,82,0,199,129

