filename,width,height,class,xmin,ymin,xmax,ymax



13_jpg.rf.ea0474d081004453f3a3bb65cac8e735.jpg,200,200,Kawung patern,173,0,199,105
19_jpg.rf.e6ed857a3d23dd53ca885a2f8d8e6b91.jpg,200,200,Kawung motif,0,46,71,111

23_jpg.rf.eccdf8a819af144dd17391070740922a.jpg,200,200,Kawung motif,0,0,109,99
23_jpg.rf.eccdf8a819af144dd17391070740922a.jpg,200,200,Kawung patern,72,100,109,199






23_jpg.rf.f158b4de59ece8148c7f3a6874475ad4.jpg,200,200,Kawung motif,0,0,112,85



36_jpg.rf.e689fa090822f06c595fea13f6fb45fa.jpg,200,200,Kawung motif,68,0,199,127





13_jpg.rf.f2446ea0002a80eac5306c362c279a77.jpg,200,200,Kawung patern,0,0,99,109






23_jpg.rf.fa6c6cf06b65352bcbb31f45a734d8af.jpg,200,200,Kawung motif,0,0,99,125
11_png.rf.f8424390d3a098c8fb4b13c6b3c0ffaa.jpg,200,200,Kawung patern,0,1,29,81
6_jpg.rf.e66ecd14feab0b7e21a084d19759725e.jpg,200,200,Kawung motif,117,0,199,21


11_png.rf.f8c1e165fc82105862ba5bab6402bc08.jpg,200,200,Kawung patern,23,0,81,71
68_jpg.rf.fbb650694aeb8693753f47ab5a7ab224.jpg,200,200,Kawung patern,0,158,107,199
20_jpg.rf.f9ea9b7f4700c196b38b7a933655025d.jpg,200,200,Kawung motif,154,140,199,199


19_jpg.rf.fd6fd9609b672f4b3f5720761f532f73.jpg,200,200,Kawung motif,0,0,93,111
19_jpg.rf.fd6fd9609b672f4b3f5720761f532f73.jpg,200,200,Kawung patern,94,112,199,195




39_jpg.rf.f33d222ceb82441cfed6f634cad12d13.jpg,200,200,Kawung motif,0,96,75,199
25_jpg.rf.fbdad1ba737e24419e653b6ab9865943.jpg,200,200,Kawung patern,0,0,55,73







44_jpg.rf.fd28fd250e6ff75459a4ed3f8888750b.jpg,200,200,Kawung motif,112,0,199,103
39_jpg.rf.faf30ac7b36c92586032f5ee53b80c1a.jpg,200,200,Kawung patern,0,110,101,199


13_jpg.rf.feefdd43a9fdbf5c5458e6eaf7959555.jpg,200,200,Kawung patern,8,0,55,117
7_jpg.rf.6f9e515c5dc0c6437f4d3a61269f62a2.jpg,200,200,Kawung patern,147,98,199,199







75_jpg.rf.717010b95e7f6d011f04c3ff607c81b8.jpg,200,200,Kawung patern,0,112,18,199



23_jpg.rf.749e505fa7fb9da18f59a9d1345b3c85.jpg,200,200,Kawung motif,0,0,99,125
4_jpg.rf.7191a3926fc7f5389df42e20d885b58b.jpg,200,200,Kawung motif,100,42,199,85










10_jpg.rf.76ea5a67c6ec4dd6b6aba2c49be4d05c.jpg,200,200,Kawung patern,6,0,107,40


23_jpg.rf.7b22dbc64e4ded02744977205e69032a.jpg,200,200,Kawung motif,0,0,109,99







6_jpg.rf.7f2771699b03af64812ba78fb6d40d8a.jpg,200,200,Kawung patern,125,0,199,27


