filename,width,height,class,xmin,ymin,xmax,ymax






27_jpg.rf.0e710acb10c018edd856eeefedc14f58.jpg,200,200,Parang-horizontal miror,46,14,74,178


27_jpg.rf.1cfdeee4bf88ece6e8819712760ff5d4.jpg,200,200,Parang-horizontal miror,22,46,186,74




13_jpg.rf.1b71f3b4b68aff9d8c6fd327a4cce305.jpg,200,200,Parang-horizontal,67,34,152,199



15--2-_jpg.rf.13875640610614f8beb0d6da5c4db108.jpg,200,200,Parang-horizontal,47,85,199,199




9_jpg.rf.40770db91dd50224067378e992d5088f.jpg,200,200,Parang-ident,0,0,199,199



16_jpg.rf.41771e3f5b592f5304138d2721fedff6.jpg,200,200,Parang-horizontal,77,13,126,179
16_jpg.rf.41771e3f5b592f5304138d2721fedff6.jpg,200,200,Parang-horizontal miror,136,11,186,189
17_png.rf.1969797490be6ff50eaf0f2948bb869e.jpg,200,200,Parang-horizontal,110,132,199,199



14_jpg.rf.3f0c162db2134b6607a87da4e88b2a2a.jpg,200,200,Parang-horizontal,0,75,132,179



13_jpg.rf.3cb2e171d3ed47f958e1c30e866f04b3.jpg,200,200,Parang-horizontal,34,67,199,152






53_jpg.rf.6f280fcae2d0aed394fb3bbb9c303fc4.jpg,200,200,Parang-ident,28,29,171,177


10--2-_jpg.rf.61237db107a01e777330c8b7056f7307.jpg,200,200,Parang-ident,1,76,199,128
3_jpg.rf.51e56d64c921cdaea5ba9356d5e519da.jpg,200,200,Parang-horizontal miror,105,35,199,53





76_jpg.rf.724a0fd0439655cf2f303e6e69d7b680.jpg,200,200,Parang-ident,1,1,108,199


11_jpg.rf.84aac5bc8bf4a54acb6fe8d49671e4a0.jpg,200,200,Parang-horizontal,10,149,137,199


17_png.rf.70f1b9fd39825c1b5d406966a4544c87.jpg,200,200,Parang-horizontal,133,0,199,90
9_jpg.rf.79589ab325ca4f59009c663bf55835e3.jpg,200,200,Parang-ident,0,1,199,199
9_jpg.rf.7d52d044022bc13a7d05e6a9c158f000.jpg,200,200,Parang-ident,0,0,199,199






14_jpg.rf.5d90b17ed07de78b90e9475424f77d27.jpg,200,200,Parang-horizontal,68,21,199,126



76_jpg.rf.915de486cc64df5310a433c0df360d96.jpg,200,200,Parang-ident,93,0,199,199



19_jpg.rf.7fe0c777b783a317ede7be04f81f5c4d.jpg,200,200,Parang-horizontal miror,118,9,192,179


53_jpg.rf.98c38a7fac10f05068af94e811aa8300.jpg,200,200,Parang-ident,24,30,172,173


10--2-_jpg.rf.9b09703853406175b2dc03bc88992c41.jpg,200,200,Parang-ident,1,76,199,128

10--2-_jpg.rf.8ea48b5547dccce093a211bdcf99bbfe.jpg,200,200,Parang-ident,76,1,128,199


15--2-_jpg.rf.a6b2db7c01072f6146b1695dc327b254.jpg,200,200,Parang-horizontal,1,0,115,153
76_jpg.rf.a4fb56b651a36ec3983a74a297e4f038.jpg,200,200,Parang-ident,1,1,108,199
16_jpg.rf.abd6274fcb92221c29a7b491011cc1ca.jpg,200,200,Parang-horizontal,22,75,188,124
16_jpg.rf.abd6274fcb92221c29a7b491011cc1ca.jpg,200,200,Parang-horizontal miror,11,14,189,64





3_jpg.rf.bc93bd0360639c8bedca94543ff52315.jpg,200,200,Parang-horizontal miror,105,147,199,166



19_jpg.rf.a05b58fba92903b8eb5476da5f4a0013.jpg,200,200,Parang-horizontal miror,9,118,179,192

53_jpg.rf.ae702e0259d6bb1425b8e8256ac467d5.jpg,200,200,Parang-ident,24,28,172,171




15--2-_jpg.rf.ad6da3ad68a8e610c9e97e6d6d8a685d.jpg,200,200,Parang-horizontal,47,85,199,199

27_jpg.rf.cae33a9c795157ac478c6d2a2282913a.jpg,200,200,Parang-horizontal miror,22,127,186,155



11_jpg.rf.cb844b30ddb9ef7a74e242c8acf0df92.jpg,200,200,Parang-horizontal,63,149,190,199



25_jpg.rf.d667b8959e8a8168afd053256ad7883b.jpg,200,200,Parang-horizontal,0,1,199,114


25_jpg.rf.c7f16ee7fdb34987d95bee27cb2e1d67.jpg,200,200,Parang-horizontal,87,0,200,199



19_jpg.rf.ccddc695514c784fb9c6d060eca7aa09.jpg,200,200,Parang-horizontal miror,8,9,82,179









11_jpg.rf.e1fd9bfbeeda4dce7e534f19ede1423c.jpg,200,200,Parang-horizontal,10,149,137,199






17_png.rf.e6f41fede613d8a12c655bc1923f0131.jpg,200,200,Parang-horizontal,110,132,199,199
13_jpg.rf.ec2b5a8662144d85abb231dd78066409.jpg,200,200,Parang-horizontal,1,48,166,133
3_jpg.rf.f1f87ab26d388892ce633157de3f146e.jpg,200,200,Parang-horizontal miror,105,147,199,166



16_jpg.rf.e2b7e6cf9583488e331967a84ee35e03.jpg,200,200,Parang-horizontal,13,75,179,124
16_jpg.rf.e2b7e6cf9583488e331967a84ee35e03.jpg,200,200,Parang-horizontal miror,11,14,189,64
25_jpg.rf.e9c60120272153c471e945a3eb678feb.jpg,200,200,Parang-horizontal,0,1,199,114






14_jpg.rf.f830fa5d782dd3afdb858288bf0dfe23.jpg,200,200,Parang-horizontal,22,0,126,132
